證券代碼	年	月	日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)
0050 元大台灣50     	2003	06	30	    37.1000	    37.4000	    36.9200	    37.0800	     9930
0050 元大台灣50     	2003	07	01	    37.0900	    38.1000	    37.0900	    38.0500	    14290
0050 元大台灣50     	2003	07	02	    38.1700	    38.8200	    38.1000	    38.6900	    16232
0050 元大台灣50     	2003	07	03	    40.6000	    40.6000	    38.8100	    39.0000	    16839
0050 元大台灣50     	2003	07	04	    39.1000	    39.2600	    38.7500	    39.2600	    12491
0050 元大台灣50     	2003	07	07	    39.6000	    41.0000	    39.6000	    41.0000	    19461
0050 元大台灣50     	2003	07	08	    42.0000	    42.0000	    40.7000	    41.1900	    13945
0050 元大台灣50     	2003	07	09	    41.3000	    41.3000	    40.8100	    41.2200	     8849
0050 元大台灣50     	2003	07	10	    41.2000	    41.2000	    40.0500	    40.0500	     8603
0050 元大台灣50     	2003	07	11	    39.6000	    39.9700	    39.3000	    39.9100	     7019
0050 元大台灣50     	2003	07	14	    39.9500	    41.0000	    39.9200	    40.6600	    10771
0050 元大台灣50     	2003	07	15	    40.7000	    40.8600	    40.1900	    40.1900	     9432
0050 元大台灣50     	2003	07	16	    40.5000	    40.9800	    40.2400	    40.8500	     6798
0050 元大台灣50     	2003	07	17	    40.5000	    40.6500	    39.8000	    39.8000	     9924
0050 元大台灣50     	2003	07	18	    39.7800	    39.9800	    39.5500	    39.9200	     7220
0050 元大台灣50     	2003	07	21	    40.0000	    40.2500	    39.4000	    39.4000	     6715
0050 元大台灣50     	2003	07	22	    39.4100	    39.9800	    39.4100	    39.9800	     9169
0050 元大台灣50     	2003	07	23	    40.3000	    40.5000	    40.0000	    40.0500	     8148
0050 元大台灣50     	2003	07	24	    40.2000	    41.2300	    40.2000	    41.2300	    10984
0050 元大台灣50     	2003	07	25	    41.0000	    41.3400	    40.8500	    41.2300	     8433
0050 元大台灣50     	2003	07	28	    41.9000	    41.9400	    41.5700	    41.5800	     6839
0050 元大台灣50     	2003	07	29	    41.5400	    41.5400	    40.8300	    41.0200	     5680
0050 元大台灣50     	2003	07	30	    41.0000	    41.0200	    40.5500	    40.6000	     9300
0050 元大台灣50     	2003	07	31	    40.6600	    41.0000	    40.4400	    40.8700	     5120
0050 元大台灣50     	2003	08	01	    41.2800	    41.6000	    41.0500	    41.6000	     3703
0050 元大台灣50     	2003	08	04	    41.4700	    41.5500	    41.2100	    41.4000	     3708
0050 元大台灣50     	2003	08	05	    41.5000	    41.6100	    40.5000	    40.5000	     4929
0050 元大台灣50     	2003	08	06	    40.2000	    40.3000	    40.0600	    40.2300	     4646
0050 元大台灣50     	2003	08	07	    40.3500	    40.7700	    39.9700	    40.7000	     5574
0050 元大台灣50     	2003	08	08	    40.7000	    40.7000	    40.1800	    40.1800	     4009
0050 元大台灣50     	2003	08	11	    39.9000	    40.1800	    39.6800	    40.1000	     2619
0050 元大台灣50     	2003	08	12	    40.3400	    40.6500	    40.3400	    40.5500	     4255
0050 元大台灣50     	2003	08	13	    41.0000	    42.4500	    41.0000	    42.4500	    12452
0050 元大台灣50     	2003	08	14	    42.2900	    42.5500	    42.0000	    42.3000	    11489
0050 元大台灣50     	2003	08	15	    42.6600	    43.5000	    42.6600	    42.7200	     8705
0050 元大台灣50     	2003	08	18	    43.0000	    43.1000	    42.5200	    42.8000	     4295
0050 元大台灣50     	2003	08	19	    43.5000	    43.6000	    42.8000	    43.0000	     6286
0050 元大台灣50     	2003	08	20	    42.8000	    43.2800	    42.8000	    43.1900	     4201
0050 元大台灣50     	2003	08	21	    43.1900	    44.0000	    42.8000	    44.0000	     3518
0050 元大台灣50     	2003	08	22	    44.0000	    44.5900	    43.9500	    44.0400	     6243
0050 元大台灣50     	2003	08	25	    44.1000	    44.3900	    43.7900	    44.3500	     4937
0050 元大台灣50     	2003	08	26	    44.2500	    44.2500	    43.4000	    43.4600	     8544
0050 元大台灣50     	2003	08	27	    43.2800	    43.9700	    43.2800	    43.6200	     6352
0050 元大台灣50     	2003	08	28	    43.6300	    43.9500	    43.4900	    43.5600	     4754
0050 元大台灣50     	2003	08	29	    43.6000	    44.9200	    43.6000	    44.9200	     7666
0050 元大台灣50     	2003	09	01	    46.4000	    46.4000	    44.7900	    45.1500	     6283
0050 元大台灣50     	2003	09	02	    45.2300	    45.5200	    44.9000	    45.5200	     2163
0050 元大台灣50     	2003	09	03	    45.9000	    45.9000	    45.0000	    45.0000	     4321
0050 元大台灣50     	2003	09	04	    45.1000	    45.1000	    44.5100	    44.5100	     3077
0050 元大台灣50     	2003	09	05	    45.0000	    45.2500	    44.7000	    45.0300	     3894
0050 元大台灣50     	2003	09	08	    44.8000	    46.0000	    44.5900	    45.9500	     5233
0050 元大台灣50     	2003	09	09	    46.5000	    46.5900	    45.7000	    45.7000	     7878
0050 元大台灣50     	2003	09	10	    45.5000	    45.6000	    44.8000	    45.1000	     4903
0050 元大台灣50     	2003	09	12	    45.0400	    45.4700	    44.8000	    45.4700	     2730
0050 元大台灣50     	2003	09	15	    45.4500	    45.4500	    44.9200	    45.0000	     2946
0050 元大台灣50     	2003	09	16	    44.6000	    45.4900	    44.6000	    45.4500	     2267
0050 元大台灣50     	2003	09	17	    45.8300	    45.9900	    45.7000	    45.7900	     5547
0050 元大台灣50     	2003	09	18	    45.8000	    45.8000	    45.4000	    45.6800	     1464
0050 元大台灣50     	2003	09	19	    45.6800	    46.0000	    45.6000	    45.8000	     6913
0050 元大台灣50     	2003	09	22	    45.5000	    45.5000	    45.0000	    45.0000	     5920
0050 元大台灣50     	2003	09	23	    44.7000	    45.0000	    44.7000	    44.8000	     6887
0050 元大台灣50     	2003	09	24	    44.9800	    45.0000	    44.7100	    44.8500	     3625
0050 元大台灣50     	2003	09	25	    44.7000	    44.9000	    44.2000	    44.8500	     6414
0050 元大台灣50     	2003	09	26	    44.8500	    44.9000	    44.7000	    44.8500	     3001
0050 元大台灣50     	2003	09	29	    44.8000	    44.8100	    44.6000	    44.7100	     1128
0050 元大台灣50     	2003	09	30	    44.7100	    44.9000	    44.6100	    44.7000	     4797
0050 元大台灣50     	2003	10	01	    44.5100	    44.5100	    44.0600	    44.1600	     4135
0050 元大台灣50     	2003	10	02	    44.7900	    45.4000	    44.6000	    45.0500	     6668
0050 元大台灣50     	2003	10	03	    45.2000	    45.4100	    45.0700	    45.3100	     4895
0050 元大台灣50     	2003	10	06	    45.7000	    46.3400	    45.7000	    46.2500	     8892
0050 元大台灣50     	2003	10	07	    46.4000	    46.4000	    46.1800	    46.2800	     7937
0050 元大台灣50     	2003	10	08	    46.3000	    46.3800	    45.8700	    46.0000	     1810
0050 元大台灣50     	2003	10	09	    46.0000	    46.2000	    45.9000	    46.1400	     5914
0050 元大台灣50     	2003	10	13	    46.4000	    47.1900	    46.4000	    47.1900	     8657
0050 元大台灣50     	2003	10	14	    47.3500	    47.5200	    47.0100	    47.0100	     6643
0050 元大台灣50     	2003	10	15	    47.0100	    47.3000	    46.8100	    47.0500	     5439
0050 元大台灣50     	2003	10	16	    47.0500	    47.7500	    46.9800	    47.7000	    10708
0050 元大台灣50     	2003	10	17	    47.8000	    47.8700	    47.5100	    47.7900	     4645
0050 元大台灣50     	2003	10	20	    47.5800	    48.1000	    47.5800	    48.0000	     3041
0050 元大台灣50     	2003	10	21	    48.0000	    48.2500	    47.4900	    47.8000	     3924
0050 元大台灣50     	2003	10	22	    47.6900	    47.8600	    47.4300	    47.8000	     2416
0050 元大台灣50     	2003	10	23	    47.3000	    47.3800	    47.0300	    47.1000	     6883
0050 元大台灣50     	2003	10	24	    47.0000	    47.2000	    46.8300	    46.9500	     6866
0050 元大台灣50     	2003	10	27	    46.9500	    47.1500	    46.9300	    47.0000	     1728
0050 元大台灣50     	2003	10	28	    47.0000	    47.8900	    47.0000	    47.8500	     6265
0050 元大台灣50     	2003	10	29	    48.5000	    48.6000	    48.0000	    48.0000	    13510
0050 元大台灣50     	2003	10	30	    48.2100	    49.0000	    48.0000	    48.1600	     5127
0050 元大台灣50     	2003	10	31	    48.1500	    48.2700	    47.8100	    48.0000	    23668
0050 元大台灣50     	2003	11	03	    48.0000	    48.0700	    47.7900	    48.0000	     3215
0050 元大台灣50     	2003	11	04	    48.2500	    48.5500	    48.0000	    48.0000	     6331
